,czo_id,variable,DISCIPLINES
0,2400,chlorophyll a corrected for pheophytin,Biology / Ecology
1,2400,pheophytin,Biology / Ecology
2,2407,alkalinity total,Water Chemistry
3,2407,aluminum dissolved,Water Chemistry
4,2407,arsenic dissolved,Water Chemistry
5,2407,boron dissolved,Water Chemistry
6,2407,dissolved organic carbon,Water Chemistry
7,2407,chromium dissolved,Water Chemistry
8,2407,copper dissolved,Water Chemistry
9,2407,iron dissolved,Water Chemistry
10,2407,lead dissolved,Water Chemistry
11,2407,manganese dissolved,Water Chemistry
12,2407,nitrogen nh4,Water Chemistry
13,2407,organic nitrogen,Water Chemistry
14,2407,nitrogen total kjeldahl,Water Chemistry
15,2407,phosphorus phosphate po4,Water Chemistry
16,2407,total phosphorus,Water Chemistry
17,2407,total dissolved phosphorus,Water Chemistry
18,2407,sulfur dissolved,Water Chemistry
19,2407,specific ultraviolet absorbance-254,Water Chemistry
20,2407,zinc dissolved,Water Chemistry
21,2414,barometric pressure,Climatology / Meteorology
22,2414,battery voltage,Climatology / Meteorology
23,2414,dew point temperature,Climatology / Meteorology
24,2414,relative humidity,Climatology / Meteorology
25,2415,water flux,Biology / Ecology|Climatology / Meteorology
26,2423,air temperature degrees celsius,Climatology / Meteorology
27,2423,snow depth centimeter,Climatology / Meteorology
28,2425,ecosystem respiration,Biology / Ecology|Climatology / Meteorology
29,2425,friction velocity,Biology / Ecology|Climatology / Meteorology
30,2425,gross primary productivity,Biology / Ecology|Climatology / Meteorology
31,2425,vapor pressure deficit,Biology / Ecology|Climatology / Meteorology
32,2426,soil moisture content,Soil Science / Pedology
33,2426,soil temperature degrees celsius,Soil Science / Pedology
34,2430,snow depth,Climatology / Meteorology
35,2431,snow depth centimeter,Climatology / Meteorology
36,2433,density layer,Hydrology
37,2433,stratigraphy,Hydrology
38,2435,air temperature time of maximum,Climatology / Meteorology
39,2435,time of minimum air temperature at 10m ,Climatology / Meteorology
40,2435,air temperature time of maximum,Climatology / Meteorology
41,2435,time of minimum air temperature at 2m ,Climatology / Meteorology
42,2435,air temperature degrees celsius 10m avg,Climatology / Meteorology
43,2435,maximum air temperature degrees celsius 10m,Climatology / Meteorology
44,2435,minimum air temperature degrees celsius 10m,Climatology / Meteorology
45,2435,air temperature degrees celsius 2m avg,Climatology / Meteorology
46,2435,maximum air temperature degrees celsius 2m,Climatology / Meteorology
47,2435,minimum air temperature degrees celsius 2m,Climatology / Meteorology
48,2435,barometric pressure mbar,Climatology / Meteorology
49,2435,in sw rad5mmax time,Climatology / Meteorology
50,2435,in sw rad5mmin time,Climatology / Meteorology
51,2435,in sw radmjm25mtotal,Climatology / Meteorology
52,2435,in sw radwm25mmax,Climatology / Meteorology
53,2435,in sw radwm25mmin,Climatology / Meteorology
54,2435,incoming shortwave radiation in sw radwm25mavg,Climatology / Meteorology
55,2435,relative humidity (10m),Climatology / Meteorology
56,2435,maximum relative humidity 10m,Climatology / Meteorology
57,2435,time of maximum relative humidity 10m,Climatology / Meteorology
58,2435,minimum relative humidity (10m),Climatology / Meteorology
59,2435,time of minimum relative humidity 10m,Climatology / Meteorology
60,2435,relative humidity (2m),Climatology / Meteorology
61,2435,maximum relative humidity 2m,Climatology / Meteorology
62,2435,time of maximum relative humidity 2m,Climatology / Meteorology
63,2435,minimum relative humidity (2m),Climatology / Meteorology
64,2435,rm young 52202 heated tipping bucket mm,Climatology / Meteorology
65,2435,soil heat fluxwm215cm,Climatology / Meteorology
66,2435,soil temperature degrees celsius at 15 cm,Climatology / Meteorology
67,2435,soil volumetric water content at 15 cm,Climatology / Meteorology
68,2435,strandard deviation of wind direction degrees (10m) ,Climatology / Meteorology
69,2435,wind direction degrees,Climatology / Meteorology
70,2435,strandard deviation of wind direction degrees (2m) ,Climatology / Meteorology
71,2435,wind direction degrees,Climatology / Meteorology
72,2435,wind speed10mmax time,Climatology / Meteorology
73,2435,time of maximum wind speed 2m,Climatology / Meteorology
74,2435,windspeed meters per second average,Climatology / Meteorology
75,2435,windspeed meters per second maximum,Climatology / Meteorology
76,2435,windspeed meters per second average,Climatology / Meteorology
77,2435,windspeed meters per second maximum,Climatology / Meteorology
78,2436,datetime,Hydrology
79,2436,density,Hydrology
80,2436,grain shape,Hydrology
81,2436,grain size,Hydrology
82,2436,layer,Hydrology
83,2436,layer hardness,Hydrology
84,2436,snow temperature,Hydrology
85,2436,surface hardness,Hydrology
86,2448,snow depths,Hydrology
