,Variable,Unit,Aggregations,czo_id,Discipline
1,chlorophyll a corrected for pheophytin,NaN,,2400,Biology / Ecology
2,pheophytin,NaN,,2400,Biology / Ecology
3,alkalinity total,NaN,,2407,Water Chemistry
4,aluminum dissolved,NaN,,2407,Water Chemistry
5,arsenic dissolved,NaN,,2407,Water Chemistry
6,boron dissolved,NaN,,2407,Water Chemistry
7,dissolved organic carbon,NaN,,2407,Water Chemistry
8,chromium dissolved,NaN,,2407,Water Chemistry
9,copper dissolved,NaN,,2407,Water Chemistry
10,iron dissolved,NaN,,2407,Water Chemistry
11,lead dissolved,NaN,,2407,Water Chemistry
12,manganese dissolved,NaN,,2407,Water Chemistry
13,nitrogen nh4,NaN,,2407,Water Chemistry
14,organic nitrogen,NaN,,2407,Water Chemistry
15,nitrogen total kjeldahl,NaN,,2407,Water Chemistry
16,phosphorus phosphate po4,NaN,,2407,Water Chemistry
17,total phosphorus,NaN,,2407,Water Chemistry
18,total dissolved phosphorus,NaN,,2407,Water Chemistry
19,sulfur dissolved,NaN,,2407,Water Chemistry
20,specific ultraviolet absorbance-254,NaN,,2407,Water Chemistry
21,zinc dissolved,NaN,,2407,Water Chemistry
22,barometric pressure,NaN,,2414,Climatology / Meteorology
23,battery voltage,NaN,,2414,Climatology / Meteorology
24,dew point temperature,NaN,,2414,Climatology / Meteorology
25,relative humidity,NaN,,2414,Climatology / Meteorology
26,water flux,NaN,,2415,Biology / Ecology|Climatology / Meteorology
27,air temperature,degreescelsius,,2423,Climatology / Meteorology
28,snow depth centimeter,NaN,,2423,Climatology / Meteorology
29,ecosystem respiration,NaN,,2425,Biology / Ecology|Climatology / Meteorology
30,friction velocity,NaN,,2425,Biology / Ecology|Climatology / Meteorology
31,gross primary productivity,NaN,,2425,Biology / Ecology|Climatology / Meteorology
32,vapor pressure deficit,NaN,,2425,Biology / Ecology|Climatology / Meteorology
33,soil moisture content,NaN,,2426,Soil Science / Pedology
34,soil temperature,degreescelsius,,2426,Soil Science / Pedology
35,snow depth,NaN,,2430,Climatology / Meteorology
36,snow depth centimeter,NaN,,2431,Climatology / Meteorology
37,density layer,NaN,,2433,Hydrology
38,stratigraphy,NaN,,2433,Hydrology
39,air temperature timeofmaximum,NaN,,2435,Climatology / Meteorology
40,timeofminimum air temperature at 10m,NaN,,2435,Climatology / Meteorology
41,air temperature timeofmaximum,NaN,,2435,Climatology / Meteorology
42,timeofminimum air temperature at 2m,NaN,,2435,Climatology / Meteorology
43,air temperature 10m avg,degreescelsius,,2435,Climatology / Meteorology
44,maximum air temperature 10m,degreescelsius,,2435,Climatology / Meteorology
45,minimum air temperature 10m,degreescelsius,,2435,Climatology / Meteorology
46,air temperature 2m avg,degreescelsius,,2435,Climatology / Meteorology
47,maximum air temperature 2m,degreescelsius,,2435,Climatology / Meteorology
48,minimum air temperature 2m,degreescelsius,,2435,Climatology / Meteorology
49,barometric pressure mbar,NaN,,2435,Climatology / Meteorology
50,in sw rad5mmax time,NaN,,2435,Climatology / Meteorology
51,in sw rad5mmin time,NaN,,2435,Climatology / Meteorology
52,in sw radmjm25mtotal,NaN,,2435,Climatology / Meteorology
53,in sw radwm25mmax,NaN,,2435,Climatology / Meteorology
54,in sw radwm25mmin,NaN,,2435,Climatology / Meteorology
55,incoming shortwave radiation in sw radwm25mavg,NaN,,2435,Climatology / Meteorology
56,relative humidity (10m),NaN,,2435,Climatology / Meteorology
57,maximum relative humidity 10m,NaN,,2435,Climatology / Meteorology
58,timeofmaximum relative humidity 10m,NaN,,2435,Climatology / Meteorology
59,minimum relative humidity (10m),NaN,,2435,Climatology / Meteorology
60,timeofminimum relative humidity 10m,NaN,,2435,Climatology / Meteorology
61,relative humidity (2m),NaN,,2435,Climatology / Meteorology
62,maximum relative humidity 2m,NaN,,2435,Climatology / Meteorology
63,timeofmaximum relative humidity 2m,NaN,,2435,Climatology / Meteorology
64,minimum relative humidity (2m),NaN,,2435,Climatology / Meteorology
65,rm young 52202 heated tipping bucket,mm,,2435,Climatology / Meteorology
66,soil heat fluxwm215cm,NaN,,2435,Climatology / Meteorology
67,soil temperature at 15 cm,degreescelsius,,2435,Climatology / Meteorology
68,soil volumetric water content at 15,cm,,2435,Climatology / Meteorology
69,strandard deviation of wind direction degrees (10m),NaN,,2435,Climatology / Meteorology
70,wind direction degrees,NaN,,2435,Climatology / Meteorology
71,strandard deviation of wind direction degrees (2m),NaN,,2435,Climatology / Meteorology
72,wind direction degrees,NaN,,2435,Climatology / Meteorology
73,wind speed10mmax time,NaN,,2435,Climatology / Meteorology
74,timeofmaximum wind speed 2m,NaN,,2435,Climatology / Meteorology
75,windspeed average,meterspersecond,,2435,Climatology / Meteorology
76,windspeed maximum,meterspersecond,,2435,Climatology / Meteorology
77,windspeed average,meterspersecond,,2435,Climatology / Meteorology
78,windspeed maximum,meterspersecond,,2435,Climatology / Meteorology
79,datetime,NaN,,2436,Hydrology
80,density,NaN,,2436,Hydrology
81,grain shape,NaN,,2436,Hydrologyf
82,grain size,NaN,,2436,Hydrology
83,layer,NaN,,2436,Hydrology
84,layer hardness,NaN,,2436,Hydrology
85,snow temperature,NaN,,2436,Hydrology
86,surface hardness,NaN,,2436,Hydrology
87,snow depths,NaN,,2448,Hydrology
88,average soil temperature,NaN,,2451,Climatology / Meteorology
89,average soil volumetric moisture,NaN,,2451,Climatology / Meteorology
90,maximum barometric pressure,NaN,,2451,Climatology / Meteorology
91,maximum relative humidity,NaN,,2451,Climatology / Meteorology
92,maximum soil temperature,NaN,,2451,Climatology / Meteorology
93,maximum soil volumetric moisture,NaN,,2451,Climatology / Meteorology
94,maximum solar radiation,NaN,,2451,Climatology / Meteorology
95,maximum temperature,NaN,,2451,Climatology / Meteorology
96,maximum wind speed,NaN,,2451,Climatology / Meteorology
97,mean barometric pressure,NaN,,2451,Climatology / Meteorology
98,mean relative humidity,NaN,,2451,Climatology / Meteorology
99,mean solar radiation,NaN,,2451,Climatology / Meteorology
100,mean temperature,NaN,,2451,Climatology / Meteorology
101,mean wind direction,NaN,,2451,Climatology / Meteorology
102,minimum barometric pressure,NaN,,2451,Climatology / Meteorology
103,minimum relative humidity,NaN,,2451,Climatology / Meteorology
104,minimum soil temperature,NaN,,2451,Climatology / Meteorology
105,minimum soil volumetric moisture,NaN,,2451,Climatology / Meteorology
106,minimum solar radiation,NaN,,2451,Climatology / Meteorology
107,minimum temperature,NaN,,2451,Climatology / Meteorology
108,minimum wind speed,NaN,,2451,Climatology / Meteorology
109,scalarmean wind speed,NaN,,2451,Climatology / Meteorology
110,standarddeviationofmean wind direction,NaN,,2451,Climatology / Meteorology
111,timeofmaximum barometric pressure,NaN,,2451,Climatology / Meteorology
112,timeofmaximum relative humidity,NaN,,2451,Climatology / Meteorology
113,timeofmaximum soil temperature,NaN,,2451,Climatology / Meteorology
114,timeofmaximum soil volumetric moisture,NaN,,2451,Climatology / Meteorology
115,timeofmaximum solar radiation,NaN,,2451,Climatology / Meteorology
116,timeofmaximum temperature,NaN,,2451,Climatology / Meteorology
117,timeofmaximum wind speed,NaN,,2451,Climatology / Meteorology
118,timeofminimum barometric pressure,NaN,,2451,Climatology / Meteorology
119,timeofminimum relative humidity,NaN,,2451,Climatology / Meteorology
120,timeofminimum soil temperature,NaN,,2451,Climatology / Meteorology
121,timeofminimum soil volumetric moisture,NaN,,2451,Climatology / Meteorology
122,timeofminimum solar radiation,NaN,,2451,Climatology / Meteorology
123,timeofminimum temperature,NaN,,2451,Climatology / Meteorology
124,timeofminimum wind speed,NaN,,2451,Climatology / Meteorology
125,total solar radiation,NaN,,2451,Climatology / Meteorology
126,vectormean wind speed,NaN,,2451,Climatology / Meteorology
127,soil temperature depth 15 cm,degreescelsius,,2452,Soil Science / Pedology
128,soil volumetric water content depth 15,cm,,2452,Soil Science / Pedology
129,soil temperature depth 15 cm,degreescelsius,,2452,Soil Science / Pedology
130,soil volumetric water content depth 15,cm,,2452,Soil Science / Pedology
131,soil temperature depth 15 cm,degreescelsius,,2452,Soil Science / Pedology
132,soil volumetric water content depth 15,cm,,2452,Soil Science / Pedology
133,soil temperature depth 11 cm,degreescelsius,,2452,Soil Science / Pedology
134,soil volumetric water content depth 11,cm,,2452,Soil Science / Pedology
135,soil temperature depth 12 cm,degreescelsius,,2452,Soil Science / Pedology
136,soil volumetric water content depth 12,cm,,2452,Soil Science / Pedology
137,land use type,NaN,,2459,Biology / Ecology
138,land classification,NaN,,2460,Biology / Ecology
139,land use,NaN,,2461,Biology / Ecology
140,time lapse camera pictures,NaN,,2467,Data Management / CyberInfrastructure 
141,carbon particulate organic,NaN,,2474,Water Chemistry|Geomorphology|Biogeochemistry|Hydrology|Geochemistry / Mineralogy
142,carbon to nitrogen molar ratio,NaN,,2474,Water Chemistry|Geomorphology|Biogeochemistry|Hydrology|Geochemistry / Mineralogy
143,nitrogen particulate organic,NaN,,2474,Water Chemistry|Geomorphology|Biogeochemistry|Hydrology|Geochemistry / Mineralogy
144,nitrogen15 stable isotope ratio delta,NaN,,2474,Water Chemistry|Geomorphology|Biogeochemistry|Hydrology|Geochemistry / Mineralogy
145,solids total suspended,NaN,,2474,Water Chemistry|Geomorphology|Biogeochemistry|Hydrology|Geochemistry / Mineralogy
146,albedo,NaN,,2475,Climatology / Meteorology
147,net shortwave radiation,NaN,,2475,Climatology / Meteorology
148,radiation net longwave,NaN,,2475,Climatology / Meteorology
149,wind std,NaN,,2491,Climatology / Meteorology|Hydrology
150,net radiation,NaN,,2494,Climatology / Meteorology
151,pressure gauge,NaN,,2497,Hydrology
152,radiation incoming,NaN,,2501,Climatology / Meteorology|Hydrology
153,temperature infrared,NaN,,2501,Climatology / Meteorology|Hydrology
154,stream flow,NaN,,2504,Hydrology
155,dissolved oxygen,NaN,,2514,Climatology / Meteorology|Hydrology|Water Chemistry
156,turbidity,NaN,,2514,Climatology / Meteorology|Hydrology|Water Chemistry
157,acid neutralizing capacity,NaN,,2515,Biology / Ecology|Water Chemistry
158,boron,NaN,,2515,Biology / Ecology|Water Chemistry
159,chloride,NaN,,2515,Biology / Ecology|Water Chemistry
160,fluoride,NaN,,2515,Biology / Ecology|Water Chemistry
161,nitrogen nh3,NaN,,2515,Biology / Ecology|Water Chemistry
162,nitrogen nitrate no3,NaN,,2515,Biology / Ecology|Water Chemistry
163,nitrogen nitrite no2,NaN,,2515,Biology / Ecology|Water Chemistry
164,phosphorus orthophosphate dissolved,NaN,,2515,Biology / Ecology|Water Chemistry
165,silica,NaN,,2515,Biology / Ecology|Water Chemistry
166,sulfate,NaN,,2515,Biology / Ecology|Water Chemistry
167,ground water depth,NaN,,2516,Hydrology
168,velocity,NaN,,2517,Biology / Ecology
169,nitrogen total,NaN,,2544,Climatology / Meteorology|Hydrology|Water Chemistry
170,salinity,NaN,,2544,Climatology / Meteorology|Hydrology|Water Chemistry
171,average flux density,NaN,,2551,Biogeochemistry
172,bedrock,NaN,,2551,Biogeochemistry
173,catena,NaN,,2551,Biogeochemistry
174,hclp,NaN,,2551,Biogeochemistry
175,iron oxide,NaN,,2551,Biogeochemistry
176,mean annual precipitation,NaN,,2551,Biogeochemistry
177,mean elevation,NaN,,2551,Biogeochemistry
178,inorganic phosphorus,NaN,,2551,Biogeochemistry
179,organic phosphorus (nahco3po),NaN,,2551,Biogeochemistry
180,nahco3pt,NaN,,2551,Biogeochemistry
181,naohpi,NaN,,2551,Biogeochemistry
182,naohpo,NaN,,2551,Biogeochemistry
183,naohpt,NaN,,2551,Biogeochemistry
