,Variable,Unit,Aggregation,czo_id,Discipline
0,chlorophyll a corrected for pheophytin,,NaN,2400,Biology / Ecology
1,pheophytin,,NaN,2400,Biology / Ecology
2,alkalinity,,total,2407,Water Chemistry
3,aluminum dissolved,,NaN,2407,Water Chemistry
4,arsenic dissolved,,NaN,2407,Water Chemistry
5,boron dissolved,,NaN,2407,Water Chemistry
6,dissolved organic carbon,,NaN,2407,Water Chemistry
7,chromium dissolved,,NaN,2407,Water Chemistry
8,copper dissolved,,NaN,2407,Water Chemistry
9,iron dissolved,,NaN,2407,Water Chemistry
10,lead dissolved,,NaN,2407,Water Chemistry
11,manganese dissolved,,NaN,2407,Water Chemistry
12,nitrogen nh4,,NaN,2407,Water Chemistry
13,organic nitrogen,,NaN,2407,Water Chemistry
14,nitrogen kjeldahl,,total,2407,Water Chemistry
15,phosphorus phosphate po4,,NaN,2407,Water Chemistry
16,phosphorus,,total,2407,Water Chemistry
17,dissolved phosphorus,,total,2407,Water Chemistry
18,sulfur dissolved,,NaN,2407,Water Chemistry
19,specific ultraviolet absorbance-254,,NaN,2407,Water Chemistry
20,zinc dissolved,,NaN,2407,Water Chemistry
21,barometric pressure,,NaN,2414,Climatology / Meteorology
22,battery voltage,,NaN,2414,Climatology / Meteorology
23,dew point temperature,,NaN,2414,Climatology / Meteorology
24,relative humidity,,NaN,2414,Climatology / Meteorology
25,water flux,,NaN,2415,Biology / Ecology|Climatology / Meteorology
26,air temperature,degreescelsius,NaN,2423,Climatology / Meteorology
27,snow depth centimeter,,NaN,2423,Climatology / Meteorology
28,ecosystem respiration,,NaN,2425,Biology / Ecology|Climatology / Meteorology
29,friction velocity,,NaN,2425,Biology / Ecology|Climatology / Meteorology
30,gross primary productivity,,NaN,2425,Biology / Ecology|Climatology / Meteorology
31,vapor pressure deficit,,NaN,2425,Biology / Ecology|Climatology / Meteorology
32,soil moisture content,,NaN,2426,Soil Science / Pedology
33,soil temperature,degreescelsius,NaN,2426,Soil Science / Pedology
34,snow depth,,NaN,2430,Climatology / Meteorology
35,snow depth centimeter,,NaN,2431,Climatology / Meteorology
36,density layer,,NaN,2433,Hydrology
37,stratigraphy,,NaN,2433,Hydrology
38,air temperature,,timeofmaximum,2435,Climatology / Meteorology
39,air temperature at 10m,,timeofminimum,2435,Climatology / Meteorology
40,air temperature,,timeofmaximum,2435,Climatology / Meteorology
41,air temperature at 2m,,timeofminimum,2435,Climatology / Meteorology
42,air temperature 10m,degreescelsius,avg,2435,Climatology / Meteorology
43,air temperature 10m,degreescelsius,maximum,2435,Climatology / Meteorology
44,air temperature 10m,degreescelsius,minimum,2435,Climatology / Meteorology
45,air temperature 2m,degreescelsius,avg,2435,Climatology / Meteorology
46,air temperature 2m,degreescelsius,maximum,2435,Climatology / Meteorology
47,air temperature 2m,degreescelsius,minimum,2435,Climatology / Meteorology
48,barometric pressure mbar,,NaN,2435,Climatology / Meteorology
49,in sw rad5mmax time,,NaN,2435,Climatology / Meteorology
50,in sw rad5mmin time,,NaN,2435,Climatology / Meteorology
51,in sw radmjm25mtotal,,NaN,2435,Climatology / Meteorology
52,in sw radwm25mmax,,NaN,2435,Climatology / Meteorology
53,in sw radwm25mmin,,NaN,2435,Climatology / Meteorology
54,incoming shortwave radiation in sw radwm25mavg,,NaN,2435,Climatology / Meteorology
55,relative humidity (10m),,NaN,2435,Climatology / Meteorology
56,relative humidity 10m,,maximum,2435,Climatology / Meteorology
57,relative humidity 10m,,timeofmaximum,2435,Climatology / Meteorology
58,relative humidity (10m),,minimum,2435,Climatology / Meteorology
59,relative humidity 10m,,timeofminimum,2435,Climatology / Meteorology
60,relative humidity (2m),,NaN,2435,Climatology / Meteorology
61,relative humidity 2m,,maximum,2435,Climatology / Meteorology
62,relative humidity 2m,,timeofmaximum,2435,Climatology / Meteorology
63,relative humidity (2m),,minimum,2435,Climatology / Meteorology
64,rm young 52202 heated tipping bucket,mm,NaN,2435,Climatology / Meteorology
65,soil heat fluxwm215cm,,NaN,2435,Climatology / Meteorology
66,soil temperature at 15 cm,degreescelsius,NaN,2435,Climatology / Meteorology
67,soil volumetric water content at 15,cm,NaN,2435,Climatology / Meteorology
68,strandard deviation of wind direction degrees (10m),,NaN,2435,Climatology / Meteorology
69,wind direction degrees,,NaN,2435,Climatology / Meteorology
70,strandard deviation of wind direction degrees (2m),,NaN,2435,Climatology / Meteorology
71,wind direction degrees,,NaN,2435,Climatology / Meteorology
72,wind speed10mmax time,,NaN,2435,Climatology / Meteorology
73,wind speed 2m,,timeofmaximum,2435,Climatology / Meteorology
74,windspeed,meterspersecond,average,2435,Climatology / Meteorology
75,windspeed,meterspersecond,maximum,2435,Climatology / Meteorology
76,windspeed,meterspersecond,average,2435,Climatology / Meteorology
77,windspeed,meterspersecond,maximum,2435,Climatology / Meteorology
78,datetime,,NaN,2436,Hydrology
79,density,,NaN,2436,Hydrology
80,grain shape,,NaN,2436,Hydrologyf
81,grain size,,NaN,2436,Hydrology
82,layer,,NaN,2436,Hydrology
83,layer hardness,,NaN,2436,Hydrology
84,snow temperature,,NaN,2436,Hydrology
85,surface hardness,,NaN,2436,Hydrology
86,snow depths,,NaN,2448,Hydrology
87,soil temperature,,average,2451,Climatology / Meteorology
88,soil volumetric moisture,,average,2451,Climatology / Meteorology
89,barometric pressure,,maximum,2451,Climatology / Meteorology
90,relative humidity,,maximum,2451,Climatology / Meteorology
91,soil temperature,,maximum,2451,Climatology / Meteorology
92,soil volumetric moisture,,maximum,2451,Climatology / Meteorology
93,solar radiation,,maximum,2451,Climatology / Meteorology
94,temperature,,maximum,2451,Climatology / Meteorology
95,wind speed,,maximum,2451,Climatology / Meteorology
96,mean barometric pressure,,NaN,2451,Climatology / Meteorology
97,mean relative humidity,,NaN,2451,Climatology / Meteorology
98,mean solar radiation,,NaN,2451,Climatology / Meteorology
99,mean temperature,,NaN,2451,Climatology / Meteorology
100,mean wind direction,,NaN,2451,Climatology / Meteorology
101,barometric pressure,,minimum,2451,Climatology / Meteorology
102,relative humidity,,minimum,2451,Climatology / Meteorology
103,soil temperature,,minimum,2451,Climatology / Meteorology
104,soil volumetric moisture,,minimum,2451,Climatology / Meteorology
105,solar radiation,,minimum,2451,Climatology / Meteorology
106,temperature,,minimum,2451,Climatology / Meteorology
107,wind speed,,minimum,2451,Climatology / Meteorology
108,wind speed,,scalarmean,2451,Climatology / Meteorology
109,wind direction,,standarddeviationofmean,2451,Climatology / Meteorology
110,barometric pressure,,timeofmaximum,2451,Climatology / Meteorology
111,relative humidity,,timeofmaximum,2451,Climatology / Meteorology
112,soil temperature,,timeofmaximum,2451,Climatology / Meteorology
113,soil volumetric moisture,,timeofmaximum,2451,Climatology / Meteorology
114,solar radiation,,timeofmaximum,2451,Climatology / Meteorology
115,temperature,,timeofmaximum,2451,Climatology / Meteorology
116,wind speed,,timeofmaximum,2451,Climatology / Meteorology
117,barometric pressure,,timeofminimum,2451,Climatology / Meteorology
118,relative humidity,,timeofminimum,2451,Climatology / Meteorology
119,soil temperature,,timeofminimum,2451,Climatology / Meteorology
120,soil volumetric moisture,,timeofminimum,2451,Climatology / Meteorology
121,solar radiation,,timeofminimum,2451,Climatology / Meteorology
122,temperature,,timeofminimum,2451,Climatology / Meteorology
123,wind speed,,timeofminimum,2451,Climatology / Meteorology
124,solar radiation,,total,2451,Climatology / Meteorology
125,wind speed,,vectormean,2451,Climatology / Meteorology
126,soil temperature depth 15 cm,degreescelsius,NaN,2452,Soil Science / Pedology
127,soil volumetric water content depth 15,cm,NaN,2452,Soil Science / Pedology
128,soil temperature depth 15 cm,degreescelsius,NaN,2452,Soil Science / Pedology
129,soil volumetric water content depth 15,cm,NaN,2452,Soil Science / Pedology
130,soil temperature depth 15 cm,degreescelsius,NaN,2452,Soil Science / Pedology
131,soil volumetric water content depth 15,cm,NaN,2452,Soil Science / Pedology
132,soil temperature depth 11 cm,degreescelsius,NaN,2452,Soil Science / Pedology
133,soil volumetric water content depth 11,cm,NaN,2452,Soil Science / Pedology
134,soil temperature depth 12 cm,degreescelsius,NaN,2452,Soil Science / Pedology
135,soil volumetric water content depth 12,cm,NaN,2452,Soil Science / Pedology
136,land use type,,NaN,2459,Biology / Ecology
137,land classification,,NaN,2460,Biology / Ecology
138,land use,,NaN,2461,Biology / Ecology
139,time lapse camera pictures,,NaN,2467,Data Management / CyberInfrastructure 
140,carbon particulate organic,,NaN,2474,Water Chemistry|Geomorphology|Biogeochemistry|Hydrology|Geochemistry / Mineralogy
141,carbon to nitrogen molar ratio,,NaN,2474,Water Chemistry|Geomorphology|Biogeochemistry|Hydrology|Geochemistry / Mineralogy
142,nitrogen particulate organic,,NaN,2474,Water Chemistry|Geomorphology|Biogeochemistry|Hydrology|Geochemistry / Mineralogy
143,nitrogen15 stable isotope ratio delta,,NaN,2474,Water Chemistry|Geomorphology|Biogeochemistry|Hydrology|Geochemistry / Mineralogy
144,solids suspended,,total,2474,Water Chemistry|Geomorphology|Biogeochemistry|Hydrology|Geochemistry / Mineralogy
145,albedo,,NaN,2475,Climatology / Meteorology
146,net shortwave radiation,,NaN,2475,Climatology / Meteorology
147,radiation net longwave,,NaN,2475,Climatology / Meteorology
148,wind,,std,2491,Climatology / Meteorology|Hydrology
149,net radiation,,NaN,2494,Climatology / Meteorology
150,pressure gauge,,NaN,2497,Hydrology
151,radiation incoming,,NaN,2501,Climatology / Meteorology|Hydrology
152,temperature infrared,,NaN,2501,Climatology / Meteorology|Hydrology
153,stream flow,,NaN,2504,Hydrology
154,dissolved oxygen,,NaN,2514,Climatology / Meteorology|Hydrology|Water Chemistry
155,turbidity,,NaN,2514,Climatology / Meteorology|Hydrology|Water Chemistry
156,acid neutralizing capacity,,NaN,2515,Biology / Ecology|Water Chemistry
157,boron,,NaN,2515,Biology / Ecology|Water Chemistry
158,chloride,,NaN,2515,Biology / Ecology|Water Chemistry
159,fluoride,,NaN,2515,Biology / Ecology|Water Chemistry
160,nitrogen nh3,,NaN,2515,Biology / Ecology|Water Chemistry
161,nitrogen nitrate no3,,NaN,2515,Biology / Ecology|Water Chemistry
162,nitrogen nitrite no2,,NaN,2515,Biology / Ecology|Water Chemistry
163,phosphorus orthophosphate dissolved,,NaN,2515,Biology / Ecology|Water Chemistry
164,silica,,NaN,2515,Biology / Ecology|Water Chemistry
165,sulfate,,NaN,2515,Biology / Ecology|Water Chemistry
166,ground water depth,,NaN,2516,Hydrology
167,velocity,,NaN,2517,Biology / Ecology
168,nitrogen,,total,2544,Climatology / Meteorology|Hydrology|Water Chemistry
169,salinity,,NaN,2544,Climatology / Meteorology|Hydrology|Water Chemistry
170,flux density,,average,2551,Biogeochemistry
171,bedrock,,NaN,2551,Biogeochemistry
172,catena,,NaN,2551,Biogeochemistry
173,hclp,,NaN,2551,Biogeochemistry
174,iron oxide,,NaN,2551,Biogeochemistry
175,mean annual precipitation,,NaN,2551,Biogeochemistry
176,mean elevation,,NaN,2551,Biogeochemistry
177,inorganic phosphorus,,NaN,2551,Biogeochemistry
178,organic phosphorus (nahco3po),,NaN,2551,Biogeochemistry
179,nahco3pt,,NaN,2551,Biogeochemistry
180,naohpi,,NaN,2551,Biogeochemistry
181,naohpo,,NaN,2551,Biogeochemistry
182,naohpt,,NaN,2551,Biogeochemistry
183,residual p,,NaN,2551,Biogeochemistry
184,residual to,,total,2551,Biogeochemistry
185,tau p,,NaN,2551,Biogeochemistry
186,phosphorus,,total,2551,Biogeochemistry
187,correlation,,NaN,2556,Climatology / Meteorology|Hydrology
188,device,,NaN,2556,Climatology / Meteorology|Hydrology
189,precipitation type hourly data only,,NaN,2556,Climatology / Meteorology|Hydrology
190,precipitation,mm,total,2556,Climatology / Meteorology|Hydrology
191,calendar year,,NaN,2558,Climatology / Meteorology
192,carbon dioxide concentration mgm3,,NaN,2558,Climatology / Meteorology
193,carbon dioxide flux,umolm2,NaN,2558,Climatology / Meteorology
194,decimal day  local time,,NaN,2558,Climatology / Meteorology
195,friction velocity,ms,NaN,2558,Climatology / Meteorology
196,horizontal wind speed,ms,NaN,2558,Climatology / Meteorology
197,julian day,,NaN,2558,Climatology / Meteorology
198,latent heat flux,wm2,NaN,2558,Climatology / Meteorology
199,local time est,,NaN,2558,Climatology / Meteorology
200,sensible heat flux,wm2,NaN,2558,Climatology / Meteorology
201,vertical wind speed,ms,NaN,2558,Climatology / Meteorology
202,water vapor concentration,gm3,NaN,2558,Climatology / Meteorology
203,recorder code,,NaN,2568,Biology / Ecology
204,filtered bare earth dem,,NaN,2570,GIS / Remote Sensing
205,filtered bare earth hillshade,,NaN,2570,GIS / Remote Sensing
206,unfiltered first return dem,,NaN,2570,GIS / Remote Sensing
207,unfiltered first return hillshade,,NaN,2570,GIS / Remote Sensing
208,canopy cover,,NaN,2571,Biology / Ecology|GIS / Remote Sensing
209,diameter at breast height,,NaN,2571,Biology / Ecology|GIS / Remote Sensing
210,height to live canopy base,,NaN,2571,Biology / Ecology|GIS / Remote Sensing
211,leaf area index,,NaN,2571,Biology / Ecology|GIS / Remote Sensing
212,height,,max,2571,Biology / Ecology|GIS / Remote Sensing
213,mean height,,NaN,2571,Biology / Ecology|GIS / Remote Sensing
214,gis geospatial database,,NaN,2572,GIS / Remote Sensing
215,description,,NaN,2573,GIS / Remote Sensing
216,easting,,NaN,2573,GIS / Remote Sensing
217,northing,,NaN,2573,GIS / Remote Sensing
218,point number,,NaN,2573,GIS / Remote Sensing
219,ground surface elevation,,NaN,2574,Geomorphology|GIS / Remote Sensing
220,x coordinate,,NaN,2574,Geomorphology|GIS / Remote Sensing
221,y coordinate,,NaN,2574,Geomorphology|GIS / Remote Sensing
222,concentration,,NaN,2578,Geochemistry / Mineralogy|Water Chemistry|Hydrology
223,acetate m,,NaN,2580,Biogeochemistry|Water Chemistry|Hydrology
224,alkalinity,meql1,NaN,2580,Biogeochemistry|Water Chemistry|Hydrology
225,formate m,,NaN,2580,Biogeochemistry|Water Chemistry|Hydrology
226,nickel m,,NaN,2580,Biogeochemistry|Water Chemistry|Hydrology
227,phosphate m,,NaN,2580,Biogeochemistry|Water Chemistry|Hydrology
228,sample date,,NaN,2580,Biogeochemistry|Water Chemistry|Hydrology
229,v m,,NaN,2580,Biogeochemistry|Water Chemistry|Hydrology
230,water temperature,celsius,NaN,2580,Biogeochemistry|Water Chemistry|Hydrology
231,zinc m,,NaN,2580,Biogeochemistry|Water Chemistry|Hydrology
232,air temperature,degreescelsius,NaN,2583,Soil Science / Pedology
233,decimal time of day,,NaN,2583,Soil Science / Pedology
234,rainfall,mm,NaN,2584,Soil Science / Pedology|Climatology / Meteorology
235,reflectivity dbz,,NaN,2585,Soil Science / Pedology
236,water table mm or,cm,NaN,2586,Soil Science / Pedology
237,water table raw,mv,NaN,2586,Soil Science / Pedology
238,well summary data only,,NaN,2586,Soil Science / Pedology
239,temperature,degreescelsius,NaN,2587,Soil Science / Pedology
240,soil moisture m3m3,,NaN,2588,Soil Science / Pedology
241,gamma,,count,2591,Geophysics
242,date of event mdyy,,NaN,2593,Water Chemistry|Hydrology|Climatology / Meteorology
243,date sample collected mdyy,,NaN,2593,Water Chemistry|Hydrology|Climatology / Meteorology
244,duration of collection hrmm,,NaN,2593,Water Chemistry|Hydrology|Climatology / Meteorology
245,precipitation amount from disdrometer,mm,NaN,2593,Water Chemistry|Hydrology|Climatology / Meteorology
246,start  end of collection,,NaN,2593,Water Chemistry|Hydrology|Climatology / Meteorology
247,time event began,,NaN,2593,Water Chemistry|Hydrology|Climatology / Meteorology
248,discharge cmd,,NaN,2594,Water Chemistry|Hydrology
249,18o reportable value,permil,NaN,2599,Water Chemistry|Hydrology
250,18o,permil,standarddeviation,2599,Water Chemistry|Hydrology
251,2h reportable value,permil,NaN,2599,Water Chemistry|Hydrology
252,2h,permil,standarddeviation,2599,Water Chemistry|Hydrology
253,calendar season,,NaN,2599,Water Chemistry|Hydrology
254,date,,NaN,2599,Water Chemistry|Hydrology
255,depth to water table m,,NaN,2599,Water Chemistry|Hydrology
256,elevation of water table m,,NaN,2599,Water Chemistry|Hydrology
257,empty,,NaN,2599,Water Chemistry|Hydrology
258,time collected,,NaN,2599,Water Chemistry|Hydrology
259,depth of sample,cm,NaN,2600,Water Chemistry|Hydrology
260,253matricpotential,kpa,NaN,2601,Soil Science / Pedology
261,electrical conductivity dsm,,NaN,2602,Soil Science / Pedology
262,mps matric potential,kpa,NaN,2606,Soil Science / Pedology
263,imaginary dielectric constant,,NaN,2607,Soil Science / Pedology
264,real dielectric constant,,NaN,2608,Soil Science / Pedology
265,analysis date,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
266,city,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
267,collection method,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
268,country,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
269,depth to bedrock,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
270,erosion rate,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
271,exposure age,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
272,institutions,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
273,laboratory conducting analysis,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
274,mean annual temperature,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
275,method of analysis,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
276,method of preparation,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
277,numeric information,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
278,parent lithology,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
279,persons,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
280,publications,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
281,sample medium,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
282,sampling date and time,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
283,sampling depth,cm,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
284,slope degree,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
285,soil taxonomy,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
286,ssurgoid,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
287,state,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
288,textual information,,NaN,2609,Geochemistry / Mineralogy|Biogeochemistry
289,digital surface model,,NaN,2613,GIS / Remote Sensing
290,shaded relief,,NaN,2613,GIS / Remote Sensing
291,classified point cloud,,NaN,2615,Geomorphology|GIS / Remote Sensing
292,digital elevation model,,NaN,2615,Geomorphology|GIS / Remote Sensing
293,air temperature,degreescelsius,NaN,2617,Climatology / Meteorology
294,instantaneous radiation,,average,2617,Climatology / Meteorology
295,par radiation,,average,2617,Climatology / Meteorology
296,photosynthetic flux density,,average,2617,Climatology / Meteorology
297,relative humidity,,average,2617,Climatology / Meteorology
298,temperature,,average,2617,Climatology / Meteorology
299,unit vector wind direction,,average,2617,Climatology / Meteorology
300,wind vector direction,,average,2617,Climatology / Meteorology
301,global radiation mjmeter2,,NaN,2617,Climatology / Meteorology
302,instantaneous photo synthetic flux density moles,,NaN,2617,Climatology / Meteorology
303,wind direction degree,,meanofmean,2617,Climatology / Meteorology
304,mean wind speed,,NaN,2617,Climatology / Meteorology
305,reflected radiation par,,NaN,2617,Climatology / Meteorology
