,Variable,Unit,Aggregation,czo_id,Discipline
0,chlorophyll a corrected for pheophytin,,,2400,Biology / Ecology
1,pheophytin,,,2400,Biology / Ecology
2,alkalinity,,total,2407,Water Chemistry
3,aluminum dissolved,,,2407,Water Chemistry
4,arsenic dissolved,,,2407,Water Chemistry
5,boron dissolved,,,2407,Water Chemistry
6,dissolved organic carbon,,,2407,Water Chemistry
7,chromium dissolved,,,2407,Water Chemistry
8,copper dissolved,,,2407,Water Chemistry
9,iron dissolved,,,2407,Water Chemistry
10,lead dissolved,,,2407,Water Chemistry
11,manganese dissolved,,,2407,Water Chemistry
12,nitrogen nh4,,,2407,Water Chemistry
13,organic nitrogen,,,2407,Water Chemistry
14,nitrogen kjeldahl,,total,2407,Water Chemistry
15,phosphorus phosphate po4,,,2407,Water Chemistry
16,phosphorus,,total,2407,Water Chemistry
17,dissolved phosphorus,,total,2407,Water Chemistry
18,sulfur dissolved,,,2407,Water Chemistry
19,specific ultraviolet absorbance-254,,,2407,Water Chemistry
20,zinc dissolved,,,2407,Water Chemistry
21,barometric pressure,,,2414,Climatology / Meteorology
22,battery voltage,,,2414,Climatology / Meteorology
23,dew point temperature,,,2414,Climatology / Meteorology
24,relative humidity,,,2414,Climatology / Meteorology
25,water flux,,,2415,Biology / Ecology|Climatology / Meteorology
26,air temperature,degreescelsius ,,2423,Climatology / Meteorology
27,snow depth centimeter,,,2423,Climatology / Meteorology
28,ecosystem respiration,,,2425,Biology / Ecology|Climatology / Meteorology
29,friction velocity,,,2425,Biology / Ecology|Climatology / Meteorology
30,gross primary productivity,,,2425,Biology / Ecology|Climatology / Meteorology
31,vapor pressure deficit,,,2425,Biology / Ecology|Climatology / Meteorology
32,soil moisture content,,,2426,Soil Science / Pedology
33,soil temperature,degreescelsius ,,2426,Soil Science / Pedology
34,snow depth,,,2430,Climatology / Meteorology
35,snow depth centimeter,,,2431,Climatology / Meteorology
36,density layer,,,2433,Hydrology
37,stratigraphy,,,2433,Hydrology
38,air temperature,,timeofmaximum,2435,Climatology / Meteorology
